Name,Age,Overall,Potential,Special,BMI
A. Fiordaliso,23.0,61.0,69.0,1464.0,21.56
A. Fisher,26.0,62.666666666666664,68.0,1174.0,21.843333333333334
A. Fletcher,25.5,69.0,72.5,1592.0,22.07
A. Flint,31.5,71.0,71.0,1492.0,21.39
A. Flips,21.0,64.0,76.0,1639.0,22.72
A. Florenzi,27.0,75.0,78.33333333333333,1998.3333333333333,22.393333333333334
A. Florescu,20.0,52.0,61.0,1307.0,20.06
A. Fofana,21.5,63.0,70.0,1623.0,21.425
A. Foley,32.0,58.0,58.0,1483.0,22.55
A. Fontana,22.666666666666668,67.0,72.66666666666667,1734.0,22.853333333333335
A. Forde,27.5,63.0,63.0,1771.5,25.31
A. Forrest,24.5,66.5,69.0,1718.0,23.89
A. Forshaw,29.5,72.0,72.0,1905.5,23.45
A. Forson,19.0,64.0,81.0,1573.0,20.72
A. Foti,18.0,60.0,80.0,1661.0,22.84
A. Fouad,20.0,54.0,68.0,1329.0,18.92
A. Fouda,21.0,62.0,72.0,1476.0,22.59
A. Francis,20.0,64.0,75.0,1703.0,21.27
A. Franco,24.0,70.0,76.33333333333333,1690.3333333333333,22.536666666666665
A. Fransson,27.0,72.0,73.0,1958.0,22.84
A. Freeman,17.0,50.0,67.0,1303.0,22.07
A. Freitag,23.0,53.0,60.0,1462.0,23.36
A. Frías,23.5,73.0,79.0,1740.5,23.77
A. Fuentes,23.5,67.0,70.5,1586.0,23.39
A. Fukumori,28.0,73.0,73.0,2025.0,22.4
A. Fulgini,24.5,77.5,81.0,2040.5,21.2
A. Gaaei,19.0,55.0,67.0,1453.0,22.4
A. Gabrielli,28.0,67.0,67.0,1639.0,24.03
A. Gabrielloni,27.0,62.0,62.0,1478.0,24.62
A. Gaich,22.0,70.0,81.0,1621.0,21.88
A. Gajgier,18.0,54.0,70.0,1317.0,20.94
A. Gallo,21.0,64.0,72.0,1691.0,21.8
A. Gantenbein,21.0,60.0,68.0,1456.0,23.29
A. Garcia MacNulty,18.0,63.0,81.0,1479.0,22.31
A. García,19.0,59.0,72.5,1585.5,22.715
A. Geipl,30.0,68.0,68.0,1809.0,23.04
A. George,18.5,52.0,69.0,1318.0,23.24
A. Georgen,22.0,63.0,72.0,1654.0,22.65
A. Georgiou,25.0,61.0,64.0,1579.0,22.78
A. Gersbach,24.0,64.0,69.0,1627.0,21.8
A. Ghareeb,24.0,66.0,71.0,1600.0,22.41
A. Ghasem,19.0,52.0,66.0,1289.0,22.53
A. Ghion,22.0,60.0,71.0,1563.0,22.34
A. Gholizadeh,25.0,74.0,76.0,1894.0,22.28
A. Giannou,30.0,66.0,66.0,1627.0,21.04
A. Giay,18.0,65.0,81.0,1703.0,22.53
A. Gignac,35.0,81.0,81.0,2017.0,23.8
A. Gigović,20.0,63.0,79.0,1686.0,22.02
A. Gilbert,19.5,59.5,73.5,1475.0,19.11
A. Gilbey,26.5,65.0,66.5,1892.5,21.8
A. Gilliead,25.0,64.0,67.0,1651.0,20.9
A. Giménez,29.0,64.0,64.0,1445.0,26.12
A. Ginti,26.0,61.0,61.0,1644.0,23.88
A. Glennon,21.5,62.0,68.0,1624.5,21.98
A. Gnahoua,29.0,62.0,62.0,1610.0,23.37
A. Gnanduillet,29.0,66.0,66.0,1644.0,24.97
A. Gnezda Čerin,22.0,67.0,74.0,1733.0,23.77
A. Godoy,32.0,71.0,71.0,1702.0,24.49
A. Gogia,29.0,69.0,69.0,1752.0,23.04
A. Gogić,27.0,66.0,66.0,1653.0,25.62
A. Gojak,24.0,69.0,75.0,1908.0,22.15
A. Golovin,25.5,79.0,81.5,2112.0,21.3
A. Gomes,20.5,72.0,81.0,1863.5,19.84
A. Gomez Mancini,20.0,60.0,72.0,1679.0,20.66
A. Gomis,27.0,76.0,78.0,1242.0,20.82
A. González,27.0,72.33333333333333,72.66666666666667,1954.0,24.75
A. Gonçalves,35.0,67.0,67.0,1816.0,24.93
A. Goodwin,17.0,57.0,72.0,1375.0,22.86
A. Gope,22.0,50.0,59.0,849.0,24.42
A. Goransch,21.0,62.0,72.0,1561.0,23.53
A. Gorcea,20.0,57.0,70.0,881.0,21.91
A. Gordon,20.5,71.0,82.5,1729.0,21.275
A. Gorgon,32.0,67.0,67.0,1853.0,22.21
A. Gory,24.0,67.0,72.0,1606.0,21.74
A. Gouiri,21.5,78.5,85.5,2018.5,22.22
A. Granlund,31.5,63.0,63.0,1571.0,24.66
A. Grant,30.5,65.0,65.0,1576.0,23.265
A. Grassi,26.5,72.5,74.5,1908.0,22.4
A. Gravillon,23.5,73.0,77.5,1626.5,23.37
A. Gray,30.0,73.0,73.0,1820.0,24.07
A. Grbic,24.0,70.0,74.0,1737.0,23.2
A. Greaves,20.0,58.0,69.0,1495.0,22.66
A. Green,21.0,67.0,76.0,1673.0,21.91
A. Greene,31.5,62.0,62.0,1640.5,25.22
A. Greive,23.0,61.0,66.0,1457.0,23.04
A. Gremsl,27.0,62.0,64.0,1045.0,23.55
A. Grgić,24.0,70.0,77.0,1931.0,23.77
A. Griezmann,30.5,84.0,84.0,2247.0,23.57
A. Griger,17.0,58.0,77.0,1376.0,21.16
A. Grijalva,20.0,58.0,72.0,1326.0,24.9
A. Grimaldi,30.0,63.0,63.0,1562.0,25.46
A. Groiß,23.0,65.0,70.0,1602.0,24.08
A. Gruber,26.5,70.0,71.0,1876.0,23.12
A. Gryszkiewicz,21.5,65.5,72.5,1634.0,24.25
A. Grønbæk,20.5,65.5,78.0,1770.5,21.33
A. Grünwald,32.0,67.0,67.0,1871.0,23.77
A. Guardado,34.5,77.5,77.5,2102.5,23.46
A. Gudiño,24.0,64.0,72.0,1019.0,25.68
A. Gunn,25.5,72.0,76.0,1233.0,20.04
A. Gunnarsson,32.0,69.0,69.0,1840.0,27.14
A. Gutiérrez,22.5,66.5,76.5,1734.5,24.15
A. Gutman,24.0,66.0,72.0,1648.0,21.5
A. Guédioura,35.0,68.0,68.0,1870.0,25.56
A. Guðjohnsen,20.0,59.0,72.0,1415.0,22.07
A. Guðmundsson,24.0,71.0,77.0,1783.0,24.62
A. Gómez,28.666666666666668,77.33333333333333,80.66666666666667,1861.3333333333333,23.419999999999998
A. Gülay,18.5,62.0,74.0,1591.0,23.12
A. Gülstorff,19.0,54.0,70.0,944.0,22.89
A. Gündüz,19.0,62.0,73.0,1347.0,23.52
A. Güneren,22.0,54.0,62.0,1559.0,20.9
A. Gürleyen,22.0,63.0,72.0,1437.0,24.97
A. Hack,27.5,72.5,73.5,1615.0,23.62
A. Hackford,17.5,59.0,80.5,1360.5,21.71
A. Hadžiahmetović,24.0,71.0,78.0,1895.0,21.85
A. Hagelskjær,24.0,64.0,68.0,1646.0,22.79
A. Hahn,30.5,74.5,74.5,1990.5,23.37
A. Haidara,23.5,78.0,82.5,2056.0,23.51
A. Hajdari,19.0,59.0,77.0,1335.0,22.4
A. Hakimi,22.5,84.5,87.5,2208.5,22.28
A. Halilović,25.0,70.0,74.0,1770.0,24.16
A. Halliday,29.0,64.0,64.0,1839.0,22.39
A. Halme,23.0,65.0,74.0,1350.0,20.3
A. Hamdallah,30.0,77.0,77.0,1874.0,25.31
A. Hamdi,24.0,65.0,70.0,1746.0,21.46
A. Hanche-Olsen,24.0,71.0,76.0,1664.0,23.96
A. Hansen,25.0,63.666666666666664,69.0,1256.0,21.439999999999998
A. Harit,24.5,75.0,79.5,1791.0,20.68
A. Harroui,23.0,73.0,80.0,1977.0,22.94
A. Hartigan,21.5,63.0,70.5,1772.5,21.46
A. Hartridge,22.0,60.0,70.0,1460.0,21.04
A. Hasić,19.5,67.0,76.5,1673.0,25.54
A. Hassan,28.0,71.5,71.5,1832.5,22.395
A. Hatem,31.0,71.0,71.0,1893.0,22.69
A. Hausch,18.5,61.5,78.5,1536.0,21.22
A. Hawsawi,26.0,60.0,63.0,1468.0,24.54
A. Hayden,24.5,64.0,69.0,1497.5,22.96
A. Hegazi,30.5,75.5,75.5,1511.0,23.62
A. Heggebø,19.0,60.0,75.0,1436.0,25.36
A. Helac,24.0,64.0,68.0,888.0,24.1
A. Hellborg,22.0,64.0,70.0,1581.0,22.35
A. Herrera,23.0,69.33333333333333,76.0,1753.0,22.393333333333334
A. Herzog,23.5,62.5,68.5,1660.5,24.58
A. Hickey,19.5,72.0,83.5,1813.0,23.51
A. Hjulsager,26.5,72.5,74.0,1986.5,23.51
A. Hloušek,32.0,64.0,64.0,1736.0,21.73
A. Hložek,18.5,76.5,87.0,1919.0,22.634999999999998
A. Hoff,18.0,54.0,72.0,894.0,20.94
A. Hoffmann,28.0,72.0,73.0,1608.0,23.27
A. Hofman,19.0,61.0,74.0,1554.0,21.67
A. Hopmark,30.0,66.0,66.0,1528.0,23.87
A. Hoskonen,25.0,57.0,64.0,1411.0,23.12
A. Hoti,19.0,56.0,71.0,1222.0,23.3
A. Hountondji,18.5,61.0,77.0,1479.5,20.9
A. Hrustić,24.5,71.5,74.5,1932.0,22.695
A. Hughes,29.0,69.0,69.0,1726.0,22.44
A. Hunou,27.0,73.0,74.0,1921.0,21.85
A. Hunt,22.0,57.0,66.0,1542.0,20.76
A. Hunter,25.5,64.0,64.5,1731.0,21.15
A. Hurst,21.0,59.0,69.0,1562.0,23.39
A. Hurtado,34.0,73.0,73.0,1938.0,22.65
A. Husic,20.0,55.0,68.0,1264.0,23.12
A. Hutchinson,38.5,73.5,73.5,1958.0,23.74
A. Iacob,33.0,62.0,62.0,1417.0,23.2
A. Ibargüen,29.0,71.0,71.0,1739.0,22.32
A. Idah,20.5,67.5,77.0,1556.0,22.99
A. Ienaga,35.0,73.0,73.0,1895.0,23.39
A. Ifeadigo,25.0,61.0,62.0,1464.0,22.82
A. Ilie,22.0,60.0,70.0,1617.0,24.74
A. Iliev,27.0,63.0,64.0,1511.0,21.84
A. Iniestra,25.0,70.0,75.0,1777.0,25.54
A. Ioniță,24.0,63.5,72.0,1676.5,22.34
A. Ionov,32.0,73.0,73.0,1803.0,22.02
A. Iovine,31.0,64.0,64.0,1684.0,25.76
A. Irving,21.0,62.0,76.0,1728.0,20.37
A. Isak,21.5,81.0,85.5,1907.5,20.89
A. Ismajli,24.5,71.5,75.0,1592.5,22.21
A. Ivan,24.0,68.0,74.0,1805.0,22.68
A. Ivačič,27.0,64.0,67.0,939.0,23.2
A. Iwobi,25.5,76.0,77.5,1807.5,21.91
A. Izzo,29.0,79.0,80.0,1699.0,24.19
A. Ișfan,22.0,65.0,75.0,1680.0,21.79
A. Jaakkola,34.0,65.0,65.0,1170.0,23.14
A. Jackson,23.0,58.0,66.5,1380.5,22.54
A. Jacobsen,30.0,67.0,67.0,1619.0,22.94
A. Jadhav,21.0,56.0,66.0,1487.0,23.78
A. Jahanbakhsh,27.5,72.5,72.5,1909.5,24.07
A. Jahouh,32.0,70.0,70.0,1808.0,23.2
A. Jahović,34.0,72.0,72.0,1674.0,23.57
A. Jakolis,30.0,64.0,64.0,1771.0,21.88
A. Jakubech,24.0,68.0,72.0,1007.0,23.2
A. Jakubiak,24.0,60.0,65.0,1505.0,21.07
A. Jallow,22.0,65.0,72.0,1581.0,22.5
A. Jankewitz,19.5,60.0,77.0,1665.0,23.37
A. Januzaj,26.0,81.0,81.0,1908.0,21.97
A. Jarvis,23.0,57.0,64.0,1357.0,22.63
A. Jashari,18.5,58.0,75.5,1596.0,24.86
A. Jasic,18.5,61.5,74.5,1666.0,22.285
A. Jasson,19.5,56.5,75.5,1421.0,22.86
A. Jatta,23.0,60.0,66.0,1381.0,23.6
A. Jercălău,17.0,53.0,72.0,866.0,22.15
A. Jeremejeff,27.5,68.5,69.0,1570.5,22.24
A. Jipa,20.0,52.0,61.0,1441.0,21.67
A. Johansson,26.0,62.0,63.0,1631.0,22.12
A. Johnston,22.5,68.5,73.5,1779.5,23.77
A. Jok,21.0,53.0,62.0,1327.0,22.07
A. Jones,23.5,65.5,74.0,1603.0,19.81
A. Jonjić,21.5,63.0,71.5,1595.5,22.4
A. Jovanović,31.0,66.0,66.0,1395.0,21.61
A. Judge,32.0,64.0,64.0,1823.0,24.51
A. Jukic,20.0,64.0,74.0,1641.0,21.8
A. Julio,25.0,68.0,71.0,1677.0,23.66
A. Jung,29.0,72.0,72.0,1936.0,23.67
A. Juárez,17.0,60.0,68.0,1627.0,21.22
A. Jóhannsson,29.0,68.0,68.0,1735.0,20.68
A. Jędrzejczyk,33.0,70.0,70.0,1727.0,24.08
A. Kade,18.0,61.0,75.0,1452.0,18.51
A. Kadri,21.5,67.5,76.5,1850.0,22.665
A. Kaied,20.0,58.0,74.0,1437.0,23.94
A. Kalimuendo,19.5,74.5,82.0,1768.5,25.47
A. Kalogeropoulos,16.0,62.0,82.0,1498.0,21.45
A. Kalulu,25.0,66.0,69.0,1675.0,24.68
A. Kamara,23.0,65.66666666666667,73.66666666666667,1696.0,23.673333333333336
A. Kamardin,19.5,61.0,69.5,1400.0,21.5
A. Kampetsis,22.0,67.0,76.0,1673.0,23.41
A. Kann,30.0,66.0,66.0,1153.0,23.09
A. Kanté,26.0,68.0,69.0,1675.0,23.92
A. Kaplan,19.0,67.0,79.0,1471.0,23.55
A. Kara,28.0,69.0,70.0,1930.0,24.28
A. Karabec,17.5,71.5,84.5,1782.0,21.62
A. Karademir,18.0,60.0,77.0,1507.0,22.39
A. Karaman,25.0,59.0,64.0,1596.0,21.74
A. Karazor,24.0,70.0,73.0,1573.0,20.83
A. Kargbo,21.0,65.0,75.0,1498.0,22.99
A. Karimi,28.0,64.0,64.0,1689.0,23.08
A. Karo,24.0,58.0,65.0,1337.0,22.99
A. Kashi,33.0,65.0,65.0,1729.0,23.99
A. Kasumovic,20.0,52.0,65.0,1277.0,23.08
A. Katránis,23.0,67.0,72.0,1740.0,23.12
A. Katsantonis,21.0,63.0,73.0,1472.0,22.89
A. Kawaya,24.0,65.0,68.0,1730.0,27.08
A. Kazeem,19.5,55.5,65.5,1419.0,20.37
A. Kačaniklić,29.0,70.0,70.0,1784.0,21.98
A. Kecskés,25.0,65.0,72.0,1449.0,20.78
A. Keita,25.666666666666668,66.33333333333333,72.66666666666667,1354.6666666666667,22.61
A. Kenyon,28.0,61.0,61.0,1649.0,22.94
A. Keogh,35.0,65.0,65.0,1762.0,21.8
A. Kerouedan,21.0,61.0,72.0,1673.0,22.05
A. Khan,20.5,47.5,59.5,1304.5,18.81
A. Kilgour,23.0,65.0,71.0,1504.0,21.0
A. King,32.0,68.0,68.0,1845.0,23.33
A. Klynge,21.0,65.0,73.0,1772.0,23.12
A. Knauff,19.5,71.0,81.5,1729.5,22.53
A. Knockaert,29.5,70.0,70.0,1892.0,23.32
A. Kofler,34.0,67.0,67.0,1111.0,23.12
A. Koiki,21.5,62.5,67.5,1663.0,23.16
A. Koita,22.5,68.5,75.5,1842.5,23.84
A. Kokorin,30.5,73.5,73.5,1929.5,24.52
A. Kol,21.0,64.0,77.0,1635.0,22.86
A. Kolarov,35.0,78.0,78.0,2172.0,23.16
A. Konaté,20.0,61.0,75.0,1527.5,20.6
A. Konradsen,30.0,66.0,66.0,1914.0,22.69
A. Konstantopoulos,18.0,61.0,77.0,1422.0,21.11
A. Kozubal,16.5,55.5,75.5,1524.0,21.95
A. Kralj,24.0,62.0,65.0,1449.0,22.31
A. Kramarić,30.5,82.5,82.5,2050.0,23.3
A. Krivotsyuk,22.5,64.5,68.5,1583.5,21.97
A. Král,23.5,75.0,81.5,2063.5,21.97
A. Kuen,26.0,69.0,70.0,1920.0,24.16
A. Kulakov,23.0,62.0,69.0,1449.0,21.56
A. Kumar,24.0,52.5,57.0,1095.0,20.744999999999997
A. Kuol,19.5,57.0,71.0,1380.5,22.72
A. Kuruniyan,24.0,58.0,63.0,1525.0,21.85
A. Kutucu,21.5,68.5,76.5,1797.0,23.2
A. La Gumina,24.0,67.0,72.0,1748.0,21.74
A. Lacazette,30.5,81.5,81.5,2049.0,23.84
A. Lafont,22.5,79.0,84.0,1245.5,23.43
A. Lagos,19.0,65.0,80.0,1508.0,22.74
A. Lai,21.0,54.0,62.0,889.0,22.31
A. Lajami,26.0,65.0,70.0,1715.0,23.67
A. Lallana,33.5,75.0,75.0,1997.5,23.04
A. Lang,28.0,68.0,69.0,1583.0,23.48
A. Laporte,27.5,86.0,88.0,1969.0,23.3
A. Larsson,18.0,54.0,70.0,1316.0,23.63
A. Lassiter,26.5,63.0,63.0,1589.0,22.09
A. Lastra,21.0,61.0,69.0,887.0,22.05
A. Laurienté,22.5,73.5,79.5,1841.5,22.7
A. Layouni,28.5,67.5,67.5,1653.0,22.064999999999998
A. Lazaar,29.0,66.0,66.0,1780.0,23.63
A. Laïdouni,24.0,70.0,75.0,1834.0,23.92
A. Le Fondre,34.0,70.0,70.0,1799.0,22.53
A. Leathers,20.0,53.0,67.0,1365.0,21.91
A. Leautey,25.0,68.0,71.0,1638.0,22.31
A. Lebeau,21.0,60.0,71.0,1620.0,22.53
A. Legzdins,34.0,63.0,63.0,1080.0,24.93
A. Leifsson,23.0,64.0,71.0,1471.0,21.48
A. Leipold,20.0,59.0,70.0,1419.0,22.21
A. Lennon,34.0,73.0,73.0,1845.0,23.14
A. Leone,17.5,53.5,75.0,1203.5,24.49
A. Letellier,30.5,68.5,69.0,1051.5,24.97
A. Lewis,22.2,61.4,69.0,1647.2,23.86
A. Leya Iseka,23.5,68.0,72.0,1756.0,24.49
A. Lezama,18.0,56.0,78.0,1299.0,23.94
A. Librici,17.0,51.0,71.0,1445.0,21.6
A. Liljenbäck,27.0,64.0,65.0,1647.0,24.78
A. Limbombe,26.0,69.0,69.0,1855.0,22.98
A. Lind,19.5,58.0,73.5,1525.5,24.57
A. Lindahl,27.0,60.0,61.0,1604.0,21.6
A. Linde,27.0,73.0,76.0,1138.0,24.21
A. Lindegaard,38.0,64.0,64.0,1198.0,22.82
A. Linguet,21.5,62.5,71.5,1516.5,22.25
A. Lis,30.0,63.0,64.0,1080.0,21.16
A. Livieri,25.0,65.0,71.0,995.0,21.88
A. Ljajić,29.0,75.0,75.0,1947.0,24.15
A. Llugiqi,19.0,58.0,70.0,1347.0,22.88
A. Loba,23.0,70.0,78.0,1694.0,22.47
A. Lomax,18.0,50.0,60.0,1280.0,21.78
A. Lombardi,22.0,64.0,73.0,1786.0,21.62
A. Lonergan,37.0,64.0,64.0,1058.0,23.6
A. Long,25.666666666666668,68.66666666666667,74.33333333333333,1629.6666666666667,24.53
A. Longmire,22.0,52.0,60.0,1198.0,23.57
A. Lookman,23.5,77.0,82.0,1845.5,23.45
A. Lopane,18.0,56.0,68.0,1425.0,25.95
A. Lopes,30.0,82.0,83.0,1376.0,23.92
A. Losilla,35.0,72.0,72.0,1854.0,23.37
A. Lotti,25.5,70.5,74.0,1661.5,21.85
A. Louveau,22.0,60.0,72.0,1413.0,24.08
A. Lovatt,23.0,53.0,61.0,1487.0,25.8
A. Lozano,25.0,69.0,74.0,1733.0,22.73
A. Lucoqui,23.5,71.0,75.5,1776.5,24.38
A. Luna,29.0,65.0,65.0,1773.0,21.01
A. Lundqvist,27.0,67.0,68.0,1815.0,21.22
A. Lunev,29.0,78.0,79.0,1238.0,22.16
A. Lunghi,19.0,62.0,77.0,1535.0,21.43
A. Lungwitz,20.0,62.0,74.0,1515.0,23.18
A. Lunin,22.5,74.5,84.5,1116.5,23.6
A. Lusamba,24.5,71.0,75.0,1968.0,22.97
A. Luthe,34.5,75.5,75.5,1134.5,22.35
A. Lyons,20.5,62.0,72.5,1616.0,19.38
A. López,26.5,63.5,66.0,1662.0,23.165
A. Mabaso,30.0,66.0,66.0,1705.0,22.39
A. Mabika,23.0,61.0,68.0,1343.0,24.74
A. Mabil,25.5,69.5,70.5,1759.0,20.29
A. Mac Allister,22.5,75.5,82.0,2007.5,23.509999999999998
A. MacDonald,29.333333333333332,65.66666666666667,66.0,1578.0,22.09
A. Maciel,24.0,63.0,71.0,1388.0,25.98
A. Madi,20.0,62.0,74.0,1648.0,20.2
A. Madibo,25.0,66.0,70.0,1693.0,25.51
A. Madu,28.0,66.0,67.0,1360.0,22.26
A. Magashy,24.0,64.0,68.0,1827.0,23.89
A. Maglica,30.0,65.0,65.0,1612.0,22.28
A. Maher,27.5,74.5,74.5,2030.5,24.96
A. Mahmoud,22.0,62.0,73.0,1601.0,21.45
A. Maier,22.5,75.0,82.0,1866.0,22.84
A. Mair,20.0,60.0,77.0,989.0,21.94
A. Maitland-Niles,23.5,75.0,79.0,1975.5,22.66
A. Majok,20.0,50.0,67.0,1272.0,21.13
A. Makatounakis,17.5,56.5,72.0,853.0,21.39
A. Makki,23.0,56.0,63.0,1285.0,23.41
A. Makoumbou,23.0,66.0,71.0,1796.0,22.59
A. Maksimenko,23.0,74.0,81.0,1053.0,23.45
A. Malanda,20.0,63.0,76.0,1453.0,21.91
A. Maldonado,23.5,68.0,76.0,1443.5,24.31
A. Mallé,22.0,65.0,71.0,1557.0,21.07
A. Mandi,29.0,80.0,81.0,1967.0,23.04
A. Mandous,29.5,75.0,75.5,1031.5,24.05
A. Mandrea,24.0,63.0,69.0,1065.0,22.55
A. Manneh,23.0,67.0,70.0,1819.0,21.11
A. Mannus,39.5,65.0,65.0,1127.0,26.6
A. Maraval,27.0,68.0,71.0,1124.0,23.33
A. Marchesano,31.0,71.0,71.0,1858.0,21.97
A. Marchesín,33.0,81.0,81.0,1368.0,23.77
A. Marcucci,22.5,56.5,64.5,1250.0,23.54
A. Marcus,21.0,68.0,78.0,1726.0,23.36
A. Marin,21.0,68.0,79.0,1668.0,23.55
A. Marinelli,22.5,63.5,74.0,1565.5,22.79
A. Marqués,20.0,60.0,73.0,1503.0,20.83
A. Marsh,18.5,53.5,70.0,1315.0,21.22
A. Martegani,22.0,69.0,78.0,1780.0,22.1
A. Martial,25.5,80.5,83.5,1988.0,22.45
A. Martin,31.0,63.0,63.0,1411.0,21.05
A. Martino,23.0,68.0,75.0,1831.0,23.04
A. Martis,20.0,52.0,67.0,1468.0,22.23
A. Martínez,25.5,65.5,67.0,1683.5,23.21
A. Marušić,28.5,79.0,79.0,2067.0,24.84
A. Marín,22.0,64.0,72.0,1587.0,26.12
A. Masiello,35.0,73.0,73.0,1657.0,24.22
A. Masina,27.0,74.0,75.0,1772.0,23.85
A. Masuaku,27.5,76.0,76.5,1988.0,21.85
A. Matko,22.0,63.0,72.0,1644.0,23.94
A. Matthews,29.0,66.0,66.0,1805.0,22.41
A. Mattioli,24.0,60.0,66.0,1467.0,24.42
A. Matuq,19.0,56.0,69.0,1359.0,22.86
A. Matusiwa,23.5,73.5,79.0,1827.5,24.06
A. Matějů,25.5,71.0,74.0,1827.0,23.955
A. Mawson,27.0,70.0,72.0,1541.0,25.2
A. Maxim,30.0,74.0,74.0,1836.0,23.3
A. Maxsø,27.5,74.0,75.5,1695.0,23.85
A. May,25.0,64.0,66.5,1775.0,22.64
A. Maynard-Brewer,22.5,57.5,67.0,917.5,21.5
A. Mayorga,24.0,72.0,77.0,1865.0,22.41
A. Mazilu,16.0,55.0,75.0,1374.0,20.81
A. Małachowski,24.0,63.0,68.0,1733.0,23.29
A. McCaffrey,19.0,49.0,60.0,1388.0,24.66
A. McCalmont,21.0,64.0,76.0,1754.0,22.86
A. McCann,21.0,67.0,81.0,1803.0,20.52
A. McCarthy,31.5,75.0,75.0,1245.0,21.21
A. McEneff,25.5,65.0,67.0,1832.5,22.86
A. McGeady,35.5,68.5,68.5,1806.5,22.98
A. McGowan,24.0,64.0,69.0,1607.0,26.12
A. McGregor,39.0,77.0,77.0,1305.0,22.1
A. Medina,27.0,67.25,70.25,1558.5,23.72
A. Medioub,23.5,66.0,73.0,1399.0,21.9
A. Meekison,20.0,59.0,76.0,1620.0,23.99
A. Mehmedi,30.0,74.0,74.0,1922.0,23.29
A. Mehmeti,24.0,63.0,70.66666666666667,1643.3333333333333,21.456666666666667
A. Mehring,27.0,68.0,71.0,1180.0,22.48
A. Meleán,34.0,70.0,70.0,1626.0,23.59
A. Melgalvis,32.0,65.0,65.0,1817.0,23.04
A. Mena,33.0,78.0,78.0,1904.0,25.16
A. Mendoza,18.0,59.0,74.0,1468.0,22.72
A. Mendy,26.5,68.0,69.5,1656.5,23.845
A. Meret,24.5,78.5,83.5,1212.0,22.99
A. Merkel,29.5,68.0,68.0,1879.5,22.47
A. Meroni,25.0,65.0,71.0,1498.0,22.63
A. Meyer,30.5,70.5,70.5,988.0,23.67
A. Micai,28.0,70.0,70.0,1140.0,22.26
A. Mierzejewski,34.0,74.0,74.0,1992.0,23.57
A. Mighten,19.5,67.0,80.5,1530.5,23.66
A. Mikkelsen,20.5,64.0,76.5,1613.0,22.38
A. Mikułko,17.0,52.0,73.0,847.0,21.56
A. Milik,27.5,80.0,80.5,1939.5,22.835
A. Miller,18.0,60.0,79.0,1459.0,23.12
A. Milošević,29.0,68.0,69.0,1678.0,22.48
A. Minda,19.0,60.0,78.0,1427.0,22.49
A. Miranchuk,25.333333333333332,77.33333333333333,79.33333333333333,1861.0,21.356666666666666
A. Miron,27.0,66.0,66.0,1548.0,25.13
A. Mishra,19.5,58.5,68.5,1505.5,21.22
A. Mitchell,19.5,61.0,72.5,1362.5,21.56
A. Mitriță,26.5,73.5,74.0,1770.0,24.43
A. Mitrović,26.5,76.5,77.5,1794.5,25.2
A. Mitryushkin,25.0,64.0,69.0,1116.0,22.12
A. Mlinaric,20.0,57.0,67.0,1314.0,18.84
A. Modeste,33.5,76.0,76.0,1847.0,24.02
A. Moescu,21.0,54.0,69.0,1331.0,22.88
A. Molinas,20.5,69.0,79.5,1705.5,21.88
A. Monis,19.0,57.0,69.0,1425.0,21.26
A. Montero,26.0,72.0,77.0,1202.0,22.13
A. Montes,20.0,60.0,74.0,1440.0,22.32
A. Montgomery,18.5,60.0,76.0,1616.0,18.845
A. Mooy,30.5,76.5,76.5,2073.0,22.2
A. Mora,23.0,67.0,73.0,1473.0,22.44
A. Morales,31.5,71.5,71.5,1895.5,22.99
A. Moran,17.0,58.0,79.0,1549.0,23.3
A. Morelos,25.5,76.0,79.5,1954.0,25.22
A. Moreno,21.666666666666668,67.66666666666667,77.66666666666667,1738.6666666666667,22.5
A. Morgan,25.5,63.0,68.5,1665.0,21.955
A. Moris,32.0,74.0,74.0,1286.0,22.84
A. Morley,21.5,65.0,73.5,1814.0,21.5
A. Morosoli,17.0,51.0,75.0,850.0,22.84
A. Morris,19.5,62.5,71.5,1675.5,22.72
A. Mortensen,18.0,52.0,67.0,1325.0,22.64
A. Mosquera,31.0,73.0,73.0,1710.0,24.15
A. Mostovoy,23.0,69.0,75.0,1625.0,23.77
A. Mosór,18.5,60.5,75.5,1417.0,24.07
A. Motoc,20.0,59.0,71.0,1341.0,21.04
A. Moueffek,20.5,67.0,79.0,1787.0,22.16
A. Moustafa,25.0,61.0,63.0,1530.0,22.32
A. Mowatt,26.5,72.5,73.5,2005.0,22.66
A. Mozo,24.0,74.0,80.0,1803.0,24.49
A. Mršić,35.0,66.0,66.0,1772.0,22.63
A. Mucolli,22.0,66.0,72.5,1679.0,23.6
A. Muja,23.0,63.0,69.0,1704.0,21.53
A. Mulet,21.0,67.0,75.0,1804.0,21.85
A. Mumin,23.5,69.0,77.5,1686.5,22.63
A. Munksgaard,23.0,67.0,72.0,1715.0,22.89
A. Murbeck,24.0,59.0,68.0,1330.0,24.96
A. Murić,22.5,70.0,79.0,1164.5,20.87
A. Murphy,17.0,50.0,67.0,1505.0,23.57
A. Musa,28.5,72.0,72.0,1784.0,22.57
A. Musaba,20.5,66.5,76.5,1643.5,21.74
A. Musi,16.0,58.0,77.0,1480.0,21.6
A. Muskwe,22.0,63.0,72.0,1566.0,22.4
A. Musrati,25.5,78.0,82.0,1867.0,23.24
A. Muyl,25.0,68.0,71.0,1841.0,24.38
